complaints_text_massachusetts,complaints_text_arizona
"I ""updated"" to Comcast blast about a month ago. Since then my WiFi is at a CRAWL and that is saying it nicely. There is no way I am getting the promised speed. Dial up was faster and of course, no answer from Comcast. As soon as I figure another service out this company is out for me. They should be sued for false advertisement.","I called in to upgrade my service to a different box and that's when I found out I had been being charged for some equipment that I never knew about. After researching I found out that a previous technician that had came to my house left equipment there. I had called to get a new box one day. Well, the tech that was supposed to come was running late and he sent another tech out. However when this tech came out he left two extra boxes at my house on my wall unit. Well I never looked for any extra equipment because when he left all I knew is that my cable was working so I didn't notice any extra equipment that was left. He brought this equipment into my home. All I know is he did what he was supposed to and left. The boxes were left unnoticed. However, he added those boxes that he left to my bill that were never hooked to anything in my home to get the monkey off of his back.After calling that day and the technician advised I had been getting billed for equipment I hadn't used much less knew it was in my house. So he advised not to worry they would get my account credited. After calling back concerning getting the account credited I received someone else on the line that told me this would have to be done in installments. So I asked how would it be credited and they advised over a two or three year time frame. So that's when I asked to speak with someone in management. She advised that ""We're not a bank so we're not about to credit you that money back all at once"" even though they've already been paid cash they should've never been paid whenever they billed me. The technician that showed up that shouldn't have that day should have been held responsible. Because I didn't come into Comcast to pick their equipment up this was left in my home and was never hooked to anything.So after speaking with her I was so furious I advised her she could cancel my service out. However, they kept it running until the end of January 2015. So now it's April and I have a bill collector calling my phone saying I owe them a 1000+. I advised them I only owed about 400 dollars and I was willing to pay what I owe. Well come to find out they had equipment still showing on my account and also that equipment that had been picked up that the technician had left. So I asked who in their right mind would pay for something they don't owe.I called Comcast this morning and told them this needed to be corrected because they sent a technician out to my home and he collected any and all equipment and I signed off on it. Now they're telling me, ""Oh well there's still 500 dollars worth of equipment out there."" She advised me it would take 15 days to try and get this handled. I asked her in the mean time what am I to tell these creditors that are threatening to put this bill on my credit. She advised they would handle it, but I've heard this before.I am very displeased with this service and the bill continuously would rise and they would always have some type of excuse why it raised. I wouldn't recommend this company to my worst enemy. I pay my bills and I try to stay in good credit standing with people I do business with. I just don't care to pay someone for something that I never owed and have been paying for it for years before it was realized. I believe in doing what's right and I feel that just because you have this huge Corporation doesn't mean you can treat people anyway that you want to. There's a God that sits high and looks low. :) Thanks for listening."
"Comcast is terrible. I don't usually do reviews, but this time I feel that the potential Comcast customers should know what they are getting into once they sign up for Comcast services. I have been with Comcast the past 5 years and I never saw the services so bad. I signed up for a triple play with maximum 125 MBPS blast internet speed. That was what I was told in the beginning. Everything went pretty well till this March when things started to go really awry.First the speed came down to about 40-45 MBPS. But I didn't complain much because it was still good enough for browsing. But in April, 2015 I wanted to watch some cricket matches (the world cup) by live streaming. I just could not get my TV stream anything. I complained to customer services, and after about 5 days they did send out a technician. Have you ever had a Comcast technician come and fix the problem for you? They are so bloody arrogant and make you feel so low. Typical attitude: How stupid are you not to be able to figure out the solution for yourself; They do something and tell you everything will be fine from now. And the problem remains and you have no idea what was the issue and what he fixed. They make you feel like they are bestowing a huge honor just by showing up to your door. They are always out of the door in 5 minutes max. So the problem remained and I complained to customers services again. After another week or so they let me know that maybe the problem is with the router. So they said someone will come and replace the router and everything will be fine.The technician came, installed a new router and was out of my place before the router was actually online. Before leaving, he asked me to get an usb cable and other things from Amazon to speed up my services. I had absolutely no idea what he was talking about when I am supposed to have a wireless connection for all devices and I have a small apartment and all devices are close to the router. Finally I decided I have had enough (my internet speed is now down to 15 MBPS) and I cancelled the services from June 4, 2015. I called them o/a May 24 and schedule return of all equipment. I also pay all my outstanding bills. Imagine my consternation I receive a new bill of $122 for services from June 4 to July 3, 2015. I called the customer services again and somehow navigate my way to speak to someone at the payments department. I tell him my problem and he asks me to call cancellation department and resolve this. I request him to send a note to cancellation department or maybe talk to them internally to resolve my problem. He flatly tells me, that's not something they do and it is my responsibility that I resolve it with cancellation department. Ridiculous internal communication and follow up. I guess in order to not be charged with bills for services not received, I shall have to call them again. So sad. Comcast used to be a good company. Next time I will choose a smaller service provider who will attend to my needs and solve my problem. I wish some of us will get together and file a class action suit to hold these Company to better standards. You pay a lot and in return you are treated so bad that it hurts.","I had the absolute worst experience with Comcast on yesterday. I called to do a simple transfer of service. Well, guess what, it wasn't that simple. The young lady, though nice enough, screwed up my account. My transfer was not supposed to be until Saturday but my service at my current location were suspended yesterday by the time I ended my call. Had she been more concerned with setting up my account than talking about her deadbeat baby daddy for thirty minutes, maybe she would not have turned off my services 4 days too soon.I called back at 2:03 pm CST to get this issue resolved and all hell broke loose. I first talked to Shay. She told me if she turned my services back on I would have to call back again to have them disconnected on the day of my transfer (stupid, right). I told her I was not going to call back because I should not have been turned off in the first place. I then asked to speak to a supervisor. She purposely transferred me to a different department (the sales department) and I was on hold for about 45 minutes. Andrew answered. He was rude, and refused to transfer me to a supervisor. He instead purposely transferred me to the wrong department (billing) again. I was on hold for about 30 minutes. Now I am in the billing department. Mind you, I have a 0.00 balance because my account is set up for auto pay or should I say my account was set up for auto pay (cancelled that). The rep in the billing department does not speak or understand English very well. I asked to be transferred to a supervisor and he refused unless I gave him access to my account which I refused since he could not help me. So, he hung up on me. It's now 3:45 pm CST and I have nothing resolved!!! I call back and ask for a supervisor. I get Corey. He is rude, can't help, puts me on hold after I repeatedly told him that I did not want to be placed on hold and then still does nothing to help me. I finally just said, ""Forget it. Cancel the account. Disconnect all services."" Well, Corey can't do that either. He transfers me to Customer Solutions. I speak with Christy. She deserves a raise and a promotion. She is the only Comcast employee that I spoke with yesterday that has more than empty space between her two ears. I have to admit, by the time I spoke with her, I was beyond pissed and irritated so yes I had a very bad attitude. Throughout the conversation, she was very professional, helpful, and never lost patience with me. She was able to get my services restarted, and was able to set up my transfer correctly!!! By the time I got off the phone with Christy, it was 5:45 pm CST. 3 hours and 45 minutes to fix an issue that your rep caused is more than ridiculous. And for your reps to have the nerve to have an attitude with me because I demand quality customer service just like you demand on time payments is a slap in the face.You can keep your Comcast Guarantee because it is nothing but lies. Your guarantee should say ""We promise to feed you a bunch of lies every time you call, place you on hold for as long as we like, take forever to resolve your issues, refuse you the right to speak with management, and bill you extremely high prices because we can!"""
"I called Comcast to up my internet speed. They told me I would have to pay 12/month for 50 mps. I did not know I was only getting 25 mps with my regular service. I tested my upload/download speed with their utility and I wasn't getting anything better than 32 mps. I called support and spent a total of 10 hours on two calls with tech support. The second call I was transferred 6 times. On the first call, the tech kept saying they could not see my device online so I was not connected to the internet. I told them I was on a VOIP line so it was impossible that I wasn't connected to the internet. This conversation went on for 30 min. I was on a 30 day trial for a new contract. I had been a customer for 17 yrs. They were going to send out a technician but I insisted that I not be charged for this visit no matter what the outcome. No one would commit to that so I canceled the visit. On the day that the visit was supposed to be canceled a guy shows up at my door saying he is with Xfinity home security. He explained that he traveled 2 hours to get to my house and had paperwork that said I called. I told him we don't have the security package, never did. He sat with me for almost an hour and agreed that this was all a major blunder but said to go ahead with the new product installation as I was dropping Comcast and if I wanted to come back he would personally handle the contract. I said fine and the following week had their major competitor installed. Since install I have consistently had 58-63 mps with the internet and that's with 4 laptops, 1 Ipad and two phones. In addition, the competitor bundle of internet, TV and phone is 15$/month cheaper than what I had been paying for all three. Also, I have HD coming in on my TV which I did not have with Comcast. Have to admit that the new service does have less channels but for the price and service it is worth it. Besides, we don't watch a lot of TV anyway.","Every time I have had to call Comcast after about 5Pm, it has been a nightmare. You get canned responses and nothing is ever fixed. I've also had problems with being ""disconnected"" when talking to customer service during the day. Who knows what that is all about, but somebody needs to start up a new internet/cable company. Seriously, Comcast needs more competition. Eventually I get things done, but have just about decided I can live without internet and cable TV in my house. Every year it gets more expensive and it's just not worth it."
"First off, the fact that their product wasn't working properly was already a bad start and secondly, terrible customer service just ruined the whole mood. Here’s what happened. My Internet was not working properly and when I had called the customer service, they were absolutely wonderful - treated me with respect and all. But here comes the bad part. They directed me to the Advanced Wireless Department and some whacko picks up the phone half-awake answering the phone with a very dreadful ""Hello?"" Very professional (Sarcasm). So I was telling him about what was happening with my Internet and halfway in, I hear the guy yawn and hang up the phone! The worst part about it is that this guy might be doing this to OTHER customers with no punishment whatsoever. Goes to show Comcast hires some very bad workers. Disappointed.","We had Comcast a decade ago. It was a nightmare trying to get them to stop charging us after we cancelled the service and returned the equipment. They even tried to charge us for the equipment after we had returned it. Thankfully, we kept the receipt handy and had to send copies several times to get them to stop charging us for it. Now we are having the same issue. I was told that they were much better these days, but again they are charging us for services after we had cancelled. They claim they did not receive the call in April 2013 when I cancelled the service. They are still playing their stupid games of pleading ignorance. They need to be sued. There are enough complaints for a class action against Comcast."
"On numerous occasions my wifi has been disabled causing me to contact the company, etc. It would not be a huge deal except that I pay numerous amounts in fees and charges for the service that never actually works. I know other people have issues with WIFI and I'm surprised Comcast has not had to make amends to their overcharges and unfair practices.","I called to get internet and cable services in April 2013. I paid for the first month's bill, equipment, and shipping for all of the equipment on the date I ordered the service. The equipment received was short three adapter boxes (although we received the additional remotes). I called back and they shipped the adapter boxes immediately. All three tiny boxes came in the same package. A shipping charge of $29.85 ($9.95 per adapter) was applied to my account for these adapter boxes (that should have been included in the original box and original shipping charges). I have contacted Customer Service three times since receiving this charge (once in May, twice in June, and now finally today is the fourth time). Each time, the representative agreed that I should not be charged and that a credit would be applied.The third call was on 6/20/13 at 12:12 pm. Allen, employee number **, informed me that the credit of $29.85 to my bill for shipping fees that should not have been charged was still being reviewed by a supervisor. I explained that I had been told this twice in the past month and asked to speak to a supervisor. He placed me on hold and upon his return said that all supervisors were busy but he was able to discuss this matter with an account specialist. He said that what he could do for me is to go ahead and apply the credit to my account (and was doing so while we were on the phone together). He explained to me that the past reps had only submitted the credit to a supervisor. He assured me that the credit would show on my next bill and that I would not have any service interruptions due to this $29.85 charge.It is 7/02/2013. I had to contact customer service again because they shut my service off due to the ""past due"" amount of $29.85. I went to pay the bill online (which I always pay on the 2nd of the month) but was not allowed to submit it unless I included the $29.85. I paid the full amount. I contacted an account rep through online chat to discuss the credit I am due. Joancien typed, ""I have fully applied the $28.95 shipping fee credits on the account. The services are now also restored since the past due amount has been credited."" She also stated, ""The previous credits quoted by our previous reps were not posted on the account since the previous reps only submitted the credit request to a supervisor but the credits were not applied.""Service was restored so let's hope that it is due to her issuing the credit and not because I paid the bill. I hope it does not show up on the next bill, which I am afraid that it will. In addition to this, the internet service does not work without completing a reset every time (and then sometimes it still doesn't work). A technician has looked at it and ""repaired the problem"" but it still fails. I have also spent countless hours on the phone with Support over this issue. Keep in mind, I have only had the service since the middle part of April 2013 and it is now July 2, 2013.Needless to say, I have spent so much of my time devoted to trying to get at least decent service from Comcast. All in all, they have poor equipment and very poor customer service. Sadly, unless I want to go with satellite service, Comcast is my only option."
"I received a call in November 2014 saying that I should upgrade my Modem. They told me to go on this site ** and depending on which item you pick allowed up to click to buy straight from Amazon.com. And that's exactly what I did and bought a used one. Unfortunately, that's what I did. 3 hours on the phone, 2.5 hours at the customer service office, I still cannot register my modem. A legit modem that I bought from a Amazon reseller online. Their advice? You should have bought a new and paid full price. Why did you buy used? Honey, you gave me the link and I bought the used one because it was 50% off and it was an option. Don't patronize me! I pay my bills on time, just let me register this online. This regionalization of buying modems and monopolizing a market is frustrating to consumers.","Comcast Xfinity steals and if you don't catch them at it, they will keep your money. This is how they do it. You move to another address and reinstall Comcast in your new home. You have already paid the Comcast Bill in advance. You have paid your last month's bill and owe a zero balance. As soon as you move into your new home, two weeks later, you get a new bill. These are the charges they add, with the excuse that ""someone forgot to give you a credit on the other bill.""3) You may have already paid $200 in a deposit.Instead of your bill being for a previous month or the current month, you will be charged again for a month in advance, a new bill for the bill you already paid last month at the previous address and your bill will be around $260 to $300 instead of around $95 to $100 (includes Cable TV and Internet).Now, if you do not check your bill out, and call Comcast, they will keep all the money you send in. They will not correct the bill and claim that ""oh well, that's how the bill comes out when you move to a new address.""I had to call twice and demand that I speak to a supervisor and threaten them with contacting Consumer Fraud and the State Attorney General's Office if they did not correct my bill. I was then told that ""yes"" they would adjust the bill and ""give me credit for payment for the previous months bill...that was paid in advance."" To date, they have not done so.I am so angry at being defrauded by Comcast that I have just signed up with another cable and DSL company and will save about $80 a month.Check your bills, especially if you move. Comcast and all the other service providers you may have contracted with because they know what the are doing and figured out that most of you people are too trusting and will just pay the bill. If I had paid the bill, along with about 5 million other Comcast providers who also moved this month. Comcast would have collected $10 million dollars in your money that you would not get back, because you didn't know.Comcast are Thieves... watch your bills every month... especially if you move."
Got a new Comcast internet connection. The internet cuts in and out and does not work all the time. I spoke to Comcast 4 times over the last week and still I get the run around. Comcast is the worst cable internet service and if I have a choice I would never use it.,"On August 14, I contacted Comcast to inquire about their services and see if they were available in my area (being that it was a new area and has only been around for two years and such). I told the representative this as well as let them know that my future neighbors had the service.I asked for phone and Internet since I'm not a big TV person anyway. I was told that yes, the service could be placed in the address I mentioned before. But to be on the safe side to call at least a week for them to do a walk-through to verify.I decided to give them a bit more time so on September 16, 8 a.m., I called and spoke to a Matt, had the inspection set and was given a code. I was told to call back on Tuesday to check but most likely would be getting a call back to let me know. No call back so I called on Tuesday morning.  I have to actually demand they take the number I had been given.The person I spoke to, Todd, I believe, said that no order was given and if I wanted I could set that up. However, after he got the number, he said that the check for service had not been done and it should be done either today or tomorrow, so call back then.I called morning the next day and again I have to force the employee to take the call but this time I heard that not even my name is on the order in the right place. Matt, the first person I talked to, my name is actually on the notes but this is all. The survey was completed now ""but no call because they were waiting for the new address to be added into their system. ""How long will this take? A week, I am told.  To enter a new address?  You can't do that? No, sorry, different department. Okay.  Well I suppose I can wait.Sadly, I could not wait.  I either had to have a phone line installed or else lose out on the discount for my new home owners insurance. So I called back before five and told them what was going on.Now I am told I had to wait two weeks before the address is entered. Then another week to have someone come out to the house.  First I'm thinking back over the reason I was delayed in getting to the house in the first place.Comcast hit my ** water line so now I have trash in the line. Why? Because they were putting down their equipment and did not check with my builders. Of course the builders are still fighting them to pay them for the damage done.Back to the call, I stated that I was told this would only take about a week to go through. Checks, address entered and service sent out and installed. I was told sorry and to call back tomorrow.  It should have already been put into the system.I called back the next day and and the day after and the day after excluding Sunday. Monday, the 26th, I called to talk to someone and when I was told it would be another two weeks before my address would be processed, I asked to speak to a manager. I was told, ""Well, I will note it and since they are in a meeting you should get a call back with two hours at the latest.""I actually allowed four hours to go by before I called back. I told the new person I was talking to what had happened before and that I wanted to speak to a manager. She told me that I should have been given a numbered code so that if anything happened I could use that to get a hold of a manager. She then apologized for everything and said she would expedite my call to a manager in which she did. She actually transferred me to a guy named Chris.I told Chris everything I had gone through so far, including the damaged water line to having to change alarm companies because of Comcast dragging their feet. He then mentioned confusion on why this had not been taken care of. I was given his direct line, was told that he would be contacting the contractors to expedite my address into the system as well as the visit that was to come.He said he would call me back sometime today or at the latest tomorrow with a status update. It was not until an hour of getting off the phone that my contact number was never asked for. I try to be patient, I really do, but man this is rubbish. After reading the reviews, I am actually cringing and wondering if I should bother with this company at all.I do know they have personally damaged wiring in a friend's apartment when service had gone out to ""fix"" the issue. The issue was never fixed, the friend in question had to just cancel the service. I do know one thing: I won't contract with them if this manager Chris can get his people in order."
"Worst customer service EVER. I spent four hours on the phone with six people on two continents over the course of three days, trying to fix an internet problem that it turned out THEY caused. I then spent another hour with three more people trying to get the $110 worth of fees they'd landed me with (for the problem they caused) removed from my bill. The reps, or laughably named ""account executives,"" are worse than useless. The first two I spoke with had no suggestions at all besides ""unplug it and then plug it back in"". With the first, I could hear other people coaching him from the background. The third flat-out lied to me to get me off the phone. I didn't get the same answers from any two reps, and as it turned out, none of the answers they gave me were right anyway. If Comcast is allowed to merge with Time-Warner, it will be a kick in the face to every customer in the country. As far as I can tell, the only reason most people are signed on with Comcast is because there is no other option. It's certainly the case with me - I'd leave in a heartbeat if there was any other service provider in my area.",
"I had to smile at the latest public exposure of Comcast's attitude toward customers (The viral bit about the customer trying to cancel his account). Actually, the smile came when I read Comcast's public statement about this latest fiasco. The response was supposedly written by Tom Karinshak, Senior VP - Customer Experience. I've heard numerous people saying they feel sorry for the agent involved in this debacle because he was most likely only doing as told by his superiors. I suspect there is truth in this assumption.Our problems with Comcast began over two years ago (TV and Internet). After months of trying to get someone at Comcast to care about our problems, I contacted Corporate. They assigned a senior level employee (their word) to help. This was almost a year ago. Since then, numerous techs have come out to ""fix"" our problems. Each tech finds something s/he says is the cause of all our issues. The ""something"" is fixed and the tech leaves. An hour or two later, the issues reoccur. Comcast keeps sending out senior techs who find new problems and ""fix"" them. At this point, they have replaced just about every part of the system and yet the service issues remain. Meanwhile, getting anyone at the Company to respond to e-mail or telephone calls takes days and even weeks. Keep in mind, by now we are dealing with people at the Corporate level, not the low level field reps.We are very frustrated and fed-up. Every month the bill must be paid, but no one seems to care that we lose channels in mid-program or that our Internet connection is often slower than old-fashioned dial-up. A month ago, we sent another letter to Mr. Karinshak explaining our frustration. We have heard nothing. However, after talking with friends and doing some online research, I now understand why. Mr. Karinshak may be in charge of customer experience, but he never sees any negative feedback. He is so well insulated from customers he has little or no idea how poorly his company is fulfilling the terms of the ""customer guarantee.""([I'm not sure you can call mere words a guarantee!) If Mr. Karinshak wants to know how his company is performing, I suggest he make himself more accessible. Read the forum posts. Allow customers to e-mail him directly. Spend some time in the field listening to customers. Not all of us are cranks or people bent on dragging a company through the mud and muck. Some of us are simply frustrated and desperate to be heard by someone who will effect meaningful change.",
"As has happened with others, I received a letter urging me to upgrade my modem. The letter stated, in the fourth paragraph: ""To protect our environment, please properly recycle your older modem... Please note that there is no unreturned equipment fee for your older modem."" Then, on my latest bill, I received a monthly charge for this modem. When I called, I was essentially told ""Too bad, you have to return it or face monthly charges.""",
"I am a client of Comcast Business Internet for the past 4 years. A couple of days ago, they performed a migration from Microsoft Exchange 2007 to Microsoft Exchange 2010. They sent me an email stating that this migration will be performed on Sat night 11pm to 7am Sun (May 31, 2014 to June 1, 2014) at which time my internet services will be interrupted. However, when the service was resumed on Sunday night (much later than they said in their email), I found that they had changed my server address (which ends in comcast.net). This change in server address had a drastic effect on my Business Contact Manager within MS Outlook. It literally made it impossible for me to access my list of business contacts and their information. Over the past 4 years, I had built a list of 2,250 email subscribers and my whole business is dependent on this list. I have called their technical support list for several times now and their reps keep saying they have passed this ticket to their Tier 2 tech and they will be calling me. But I have not heard a word from Comcast's Tier 2 tech support. I feel I've been sidelined and abandoned. They created a big problem for me with this migration and now they don't want to assist in resolving this matter. Almost all of the Comcast reps I have spoken to seem to be passing the buck, claiming the problem is with me or with Microsoft.I wish these tech reps at Comcast will stop dilly dallying and get back to me promptly to resolve this huge problem that they had created due to their negligence. They failed to consider the consequences on changing the server settings on the Business Contact Manager in MS Outlook of their clients. What is really frustrating for me is that no one from their Tier 2 tech support called me up to now. Today is the 3rd day I am waiting. They just kept me waiting like they don't care. On the other hand, I am so anxious and desperate that I restraint myself from going to the bathroom as I don't want to miss their call. I am even eating my meals at the computer table so I don't miss the call from them. They have put me in so much stress for the past 3 days and they seem like they just don't care.",
"I don't own a TV. Comcast provides me with internet. They've charged me $50 to fix a problem that was their fault. They have sent me adapters, remotes, a new router without me ordering them!! Then in the tiniest writing possible, somewhere under a flap of the box it says, ""If you don't return this product in 5 days, we will begin to start charging you $ for our products"". That's such crap!! I have to take time out of my day to go to the post office or find a UPS store, find parking, wait in line, then drop off a product that I can't even USE and did not order otherwise I will be charged?! This should be illegal! I'm canceling the service.",
"We were loyal Comcast customers for twenty years. Due to financial incentives, we went with Verizon this month (March 12, 2013). We returned the Comcast box and modem to their service center the next day. Several years ago the router they provided us with failed and Comcast told us we had to get a new one at our expense, which we did. Now they claim they want the defective router returned and we have no idea what happened to it. Verizon provides a modem/router unit and Comcast is trying to charge us $45.00 for the old router. Why didn't they ask before? You think we'll ever be Comcast customers again and that we won't tell others of our experience?",
"The actual download speeds to our house at **, Somerville, MA are consistently around 2.5 mbps as measured by the FCC's speed test. Comcast's speed test consistently returns a download speed of 12 mbps. The FCC's numbers confer the dead in the water download speeds we experience. You are not delivering anything close to rates your plans are sold at. I'm tired of complaining and will be starting two class action suits against Comcast if you don't start delivering on your commitments and stop falsifying your speed test results.",
"After seeing a promotion for $150 Visa Gift Card with bundled service, I decided to try Comcast. I was to have my service installed mid-October. The day before installation, I received a call from a rep telling me my installation needed to be rescheduled because there was no service contract on file. Without that, I could not receive my promotion. I was connected to a department where answers to their questions were recorded. It was a verbal agreement to a 2-year contract with them. I was told it would take 3 months to receive my gift card. When March arrived and I had not received my card, I called to inquire about it. I was told someone would get back to me. April came, and I called again. For the second time, I was told someone would get back to me. By the time May 2 came along, I was furious. I called and was told she personally would get back to me, which she did not. I called yet again on the 8th and the man gave me my word he would look further into this and he would personally call me before the day ended. Guess what? It never happened. This morning, I spoke to yet another rep. He put me on hold for a brief period of time and came back to tell me there was no contract on file. I insisted I did indeed have my conversation recorded for a verbal contract. Now he is looking into this, saying that without a contract, I could not qualify for the gift card. He gave me his number and extension and I am to call him in a week if no one gets back to me. I am beyond angry at this point. If they don't keep their word and send me my Visa card, they can take their service and shove it where the sun don't shine. I never had a problem with RCN. I should have stayed with them, but I will definitely be returning to them!",
"I manage my husband's solo pediatric practice. Reliable phone and internet service are critical for our patients. Comcast is responsible for our phones and internet and it is very unreliable! On a busy Monday morning, like this morning, the phones go down for 30 minutes and Comcast can't tell us why. Worse, they do nothing to keep it from happening again. I pay for service that I don't get. I want Comcast to fix the problems so that phone and internet are reliable. ",
"I am writing to let you know of an issue I'm having with Comcast Customer Service. Please bear in mind, I've been a customer for 3 days. Roughly an hour after the install, my service was intermittent and the phone support folks were not able to help and suggested sending someone out to my home. Now, the appointment was scheduled for today (28 Feb 2012) between 6-7 PM. The tech didn't show and claimed I wasn't home. This is demonstrably false, I've been sitting here since 5:30 PM, waiting. No phone call, door bell ring, nothing. This is upsetting to me.I had to leave work early to get home for the appointment and that isn't easy to do. I also depend on the service which, at the moment, isn't working. Not only did the tech lie to his boss, he put me out as well. I expect a higher level of service from you and am very disappointed.",
"I use Comcast for Internet connection only. I have no choice whatsoever and pay $63.66 monthly. Out of curiosity, I checked the cost of internet connection in London (Pond Sterling 3.25), in Paris (10 Euros) and in Berlin (12 Euros). I wonder why an Internet connection in the US should be by far, more expensive?",
"As Comcast was the cable provider servicing the address of the home I purchased, I was forced to attempt to set up service with them. While on the phone with a local rep, she called the previous owners and got an okay from them to terminate service in their name. What ensued was madness.I set up installation appointments (multiple), only to have them cancelled by Comcast, because ""service already exists"" at that address. No lie, something like 10 phone calls later, I achieved installation. Despite this, my first bill was sent to the wrong address. When I called to see where my bill was, and to pay it, I was informed of this fact. I then paid my bill in full, over the phone. I checked, as always, to make sure that the payment was actually deducted from my bank account. It was.Next month (second month of service), I received a bill stating that my account was past due and my service was being shut off. A call to ""customer service"" (India), was met with a robotic, scripted response that had nothing to do with the questions I was asking. I was informed that my payment had been ""misapplied"". What!? To where, and whom? It was like pulling teeth to get ""India"" to transfer me to a supervisor or billing rep. There I was informed that my payment had been removed from my account and credited to another account. How could this happen, you may ask?The other account holder called up, and giving just the last 4 numbers of the debit card I used to pay, stated that it was his $300 payment. What did Comcast do to verify? They looked to see if anyone had made a $300 payment on the date in question using those last 4 CC numbers. True CIA level security measures! They then suggested I monitor that card for fraud. Not a bad idea. I suggested they ramp up their billing security.",
"I made an appointment for Comcast technician to come install the internet on 08/20, which is a Saturday. I wrote down the appointment date and time and was sure I made an appointment on Saturday, since I work Monday to Friday. On Friday 08/19, I got a call on my cellphone at work from a Comcast technician telling me he is at the door. I was so surprised because I was sure the appointment was next day. The guy had a really bad attitude and was impatient to check up the schedule per my request. Then he admitted it's the wrong day and hung up. The next day, Saturday afternoon, I stayed at home the entire afternoon and nobody showed up. Then I called the technician since I got his number on my call display earlier. I called him first time, he picked up and grumbled and hung up on me. Then I called again, he picked up and heard it was me again and hung up again. I was furious, then I called Comcast customer service. The customer service representative also had a really bad attitude and told me ""well, we don't have appointment until September. Now, do you want to keep it or not now?"". I was appalled. I have never had worst customer service experience in my life. ",
"I called Comcast on 10/01/2010 and ordered the new Internet 2go said the order was in and would see this item by 10/6/2010. Well, since then till 10/11/2010, I have called and asked for a tracking number and they keep saying they do not have one but it shipped. Today, I called them and they admitted it has not shipped and this was a new item for them in this area an they were trying to figure out where it was, but it look like it did not ship and they did not know how to ship it but would call me about 6 pm on 10/12/2010.Well, as you guessed it, they did not call so I called them back, again that nice apology, let me put you on hold an I will talk to a supervisor. On hold for 5 minutes and she came back and said there still working on it and earlier in the day I asked it to be shipped red and ship me another one. Guess what? They still wanna look for the other one.Earlier in the day was also told they did not know how to or where they are at to ship. I also said hum you must new on the job and seems no one knows what to do with any training and she said I been here only three days. Being in the customer service industry, big bells and whistles went of no training, high turn over, everything is scripted. Such a shame , I am now handicapped and I was gonna use this technology to make my life easier away from home. Maybe Comcast should start listening to there customers. Is Verizon FIOS any better? Lost of time and wages plus stress = $500.00",
"We pay almost $150 per month for service which includes internet!  We constantly have email issues due to Comcast IP issues.  They try to filter spam so our outbound email always gets bounced back.  I have spent at least 20 hours on the phone and internet trying to fix it and it keeps coming back.  They are our only choice, so they feel they can stick it to us as we have no choice.  The worst thing is they never notify you of issues and just do what they want.  Then when you call for help, they say someone will call you back and they usually don’t.",
Absolutely awful. Constant problems. I don't watch a lot of tv. Every time I do put it on my channels won't show up that I'm already subscribed to saying to subscribe to get them so I have to contact them and go through the same hassle over and over again. Ridiculous.,
"Comcast has been terrible to work with at every turn. Every time I've had to call them to discuss charges on my bill, rate increases, slow internet and cable issues. I've spent over a half hour on the phone and usually do not get the issue resolved. If there was any other company available to use for internet and TV in my area I would immediately switch.Today, my fiancé wanted to take over the Comcast bill when we moved so we were getting it turned on in her name. We entered our new address on the website and it gave us a listing of packages based on our address, we clicked ""add to cart"" on the one we wanted and it brought us to higher priced packages. Their customer ""service"" said that it wasn't available in our area but as indicated in the screenshot image attached, they are advertising it as available based on our address. Finally they agreed that it should be available for our area but told us to clear our cookies. We cleared our cookies and it immediately disconnected us. The problem continued and we literally had the exact same conversation with the next customer service rep. After I refused to clear the cookies again he told me there was nothing he could do to help.",
"I signed up for Comcast being told 500 Visa card. I got charged entire bundle then I'm only got basic. Few months later I get the box. Box is not registered so I'm on the phone for days. Then I'm waiting 10 months for Visa card... threaten a lawsuit. I get 100 gift card and another one for 50.00. I called a high up rep who went through all recorded calls, restarted my bundle, and gave me lower rate for yr 3 and 4 then a 290.00 box credit for final year. So 90.00 to 114.00 was my quote and I'm also paying 250.00 a month being shut off 2 times a month. They were individually charging me for everything. Kristin ** I believe executive customer relation in 2015 fixed it all. Now Comcast tells me they're not honoring her deal. I'm being overcharged, plus I'm being shut off. I also am still 2 yrs later waiting for 350.00 left on owed Visa card and past the deal. How am I not getting? Visa GC IS A SCAM..",
